Gender,Department,City,Age,Salary,Experience_Years
Other,Engineering,New York,60,60871,36
,Engineering,New York,56,54458,33
Other,,,27,60843,
,None,Houston,19,41603,0
Male,Engineering,,33,67645,12
Male,Finance,Chicago,54,43099,36
Other,Engineering,Los Angeles,33,67354,10
Female,HR,Houston,40,49698,14
Other,Engineering,Chicago,43,53272,18
Other,,,33,63232,14
,Marketing,Phoenix,,72597,24
Other,HR,None,64,50608,39
Male,Sales,,58,53241,29
Other,Engineering,Phoenix,47,11256,19
Female,Sales,Los Angeles,50,36960,24
Male,HR,Los Angeles,49,27334,24
Female,Engineering,Phoenix,,43919,0
Female,Marketing,New York,28,,10
Female,Finance,,,,34
Female,Marketing,,23,,0
Male,Marketing,Phoenix,47,57880,22
,Finance,,57,23145,39
None,,Los Angeles,32,33634,3
Female,Finance,Los Angeles,47,50497,23
Male,Engineering,New York,35,64545,14
None,,Phoenix,29,36047,0
Male,None,Phoenix,21,65755,0
Other,,Houston,,9022,12
Other,Marketing,New York,40,50031,15
Other,HR,Los Angeles,28,54591,0
None,Finance,Los Angeles,41,35175,18
Other,Marketing,Chicago,39,30351,12
Female,Marketing,Los Angeles,56,51900,29
Female,Engineering,None,32,49464,7
Other,Engineering,Los Angeles,,37827,3
Female,Sales,Phoenix,27,45668,9
Other,,Phoenix,,40971,19
Other,HR,New York,53,68761,25
Male,HR,Los Angeles,34,60199,
Other,HR,New York,,52906,27
None,HR,Phoenix,39,78307,16
Other,Marketing,Los Angeles,,65522,14
,Marketing,Los Angeles,,68659,23
Male,Sales,New York,39,73716,
Male,Engineering,New York,28,47659,7
Other,,Phoenix,53,31732,33
Female,,Phoenix,61,23242,41
Male,Marketing,Los Angeles,,61087,27
Female,HR,Los Angeles,,35502,38
Female,HR,Houston,49,99901,23
Female,Finance,Houston,31,37366,7
,Engineering,Chicago,,34776,15
Female,,Phoenix,55,61665,30
Male,Engineering,Chicago,,61976,28
Female,Finance,Chicago,51,76953,33
Other,Engineering,New York,62,46255,33
Other,Engineering,None,40,67401,22
,Engineering,Houston,49,,23
Other,HR,Chicago,63,58188,37
Other,Sales,Houston,20,46795,0
Female,,Phoenix,60,78708,40
Male,None,Los Angeles,39,84014,18
Female,Engineering,New York,,32152,16
Female,None,Phoenix,21,,0
Female,,Phoenix,30,36046,5
None,Finance,New York,49,67430,24
Female,None,New York,46,74600,28
Female,Sales,,57,35572,34
Female,Engineering,Houston,57,31666,34
Male,Sales,Phoenix,62,42572,40
Other,Sales,Chicago,27,67518,0
Female,Sales,Chicago,30,57135,12
None,Finance,Phoenix,62,46276,
Female,Marketing,Phoenix,34,60815,5
Female,None,Los Angeles,55,45620,34
,None,Houston,19,51976,0
None,None,Phoenix,34,58175,10
Other,Marketing,New York,61,57162,39
Other,Finance,Los Angeles,43,75357,24
None,Sales,Houston,55,31965,35
Other,Sales,,,64201,36
Male,Engineering,New York,22,35895,0
Female,Finance,None,42,43926,17
,Engineering,Los Angeles,26,47606,5
Male,HR,New York,45,43649,26
Female,Sales,Chicago,39,,
Other,None,Houston,46,43238,25
Male,Marketing,Houston,52,54084,25
Female,Sales,Phoenix,37,47987,16
Male,HR,Los Angeles,22,72088,0
Male,None,Chicago,56,48382,36
Male,HR,Chicago,61,50223,35
None,Marketing,Phoenix,49,52736,
Other,Marketing,New York,56,48006,30
Male,None,New York,27,,3
Male,Engineering,Chicago,57,42229,28
Male,,Los Angeles,34,32510,7
None,Marketing,,54,48924,33
Male,Sales,Houston,32,55770,10
Male,Engineering,Phoenix,26,52446,
Other,Finance,Los Angeles,49,36670,26
Other,Finance,New York,40,52406,14
Other,,,28,60181,8
Male,None,Phoenix,,53037,5
Other,Sales,None,35,39349,7
Other,Engineering,Chicago,26,51149,0
Male,Finance,None,59,75539,31
Other,Marketing,Phoenix,22,34430,1
Male,Finance,Houston,60,66438,34
Female,Marketing,,39,16359,21
Other,Sales,None,49,41822,27
Female,Marketing,Houston,,43544,35
Male,Engineering,,19,66214,0
Other,Marketing,Chicago,38,76589,16
None,HR,None,45,66688,22
Female,Engineering,Los Angeles,41,57673,23
,Sales,New York,,65941,16
Other,None,Phoenix,31,29712,2
Other,None,Chicago,54,63407,26
Female,Sales,New York,44,33468,24
Male,Finance,,41,38912,17
Other,HR,Houston,23,,0
Female,Sales,Los Angeles,43,31462,17
Other,Marketing,Phoenix,32,68387,4
,Engineering,New York,46,50021,18
Male,,Los Angeles,,30479,29
Other,Engineering,None,,72643,0
Male,Marketing,Phoenix,45,46055,20
Other,Sales,Houston,26,47544,5
None,Finance,Chicago,38,46693,11
None,HR,Chicago,27,,6
Male,Sales,Los Angeles,21,68871,0
Male,Marketing,Houston,21,50420,0
Female,Sales,Phoenix,23,52297,2
Other,Engineering,Houston,43,60214,22
,Sales,Houston,57,,30
Female,,Los Angeles,33,33179,13
Other,Sales,Chicago,25,36037,0
Other,HR,None,45,63097,25
Male,,Houston,33,,5
,,Houston,55,65088,34
Other,Sales,New York,18,67726,0
Female,Finance,Houston,36,63308,17
Female,Marketing,Houston,34,68846,5
Male,Sales,Phoenix,45,39321,25
Other,Sales,New York,61,59029,33
,,Houston,29,42989,0
Other,Finance,Houston,,33585,
Male,Marketing,Los Angeles,24,56912,0
Male,Engineering,Los Angeles,25,61312,2
Female,Sales,New York,20,44836,0
Male,Marketing,Phoenix,,50714,
Other,Engineering,New York,25,60545,0
Other,Finance,New York,45,40820,20
Male,None,Los Angeles,47,62159,25
Other,Marketing,Los Angeles,49,36402,23
Other,Engineering,Phoenix,,,6
Male,Finance,Houston,37,31864,15
Male,,None,33,,5
None,Finance,,42,60273,14
Other,Finance,Chicago,62,80159,41
Other,Finance,Los Angeles,26,35984,0
Female,HR,Chicago,56,59984,
Female,,Chicago,57,49709,
,Marketing,Los Angeles,57,28006,31
Male,Marketing,Chicago,20,51657,0
Female,Engineering,New York,33,58531,9
Male,Engineering,Houston,29,,7
Male,None,Phoenix,32,42432,8
Female,Engineering,Los Angeles,21,,0
Female,Sales,New York,40,54602,15
Female,Marketing,Phoenix,44,47390,19
Other,Sales,Phoenix,,48496,29
None,,Phoenix,60,61197,37
Other,Finance,Chicago,,48490,32
Male,,Chicago,30,46471,2
Other,Finance,Chicago,60,42400,41
Female,Engineering,Chicago,,27477,25
Male,Sales,New York,57,64006,32
Male,None,Chicago,38,42243,16
Male,Finance,Los Angeles,46,68495,21
Other,Sales,Phoenix,46,68914,23
Female,Engineering,,28,85973,3
Male,Marketing,Chicago,45,56668,27
Male,Engineering,,27,58404,1
Male,Finance,New York,,59182,0
Other,Sales,Phoenix,42,53902,22
Other,None,New York,50,67700,28
Female,,Houston,34,48761,5
Other,Marketing,New York,50,58282,26
Male,Sales,Chicago,42,48371,17
Female,Finance,Phoenix,50,30332,26
Male,Marketing,Phoenix,26,61165,6
None,HR,Phoenix,44,8752,20
Other,Sales,Los Angeles,42,58240,24
Female,Sales,Los Angeles,21,66309,0
Other,Engineering,None,26,58819,0
Other,Marketing,,63,38161,44
Female,None,Los Angeles,32,73195,12
Male,Finance,New York,33,77219,7
,Engineering,Chicago,33,59983,
Female,HR,Houston,,77822,5
Male,Marketing,,,81798,8
Female,None,Phoenix,39,40376,15
Female,Sales,None,38,36335,16
Other,Sales,New York,26,61147,0
,Engineering,Houston,58,2886,29
Other,Marketing,None,21,,0
Male,Marketing,New York,27,40114,0
Male,HR,None,52,47163,24
Male,Engineering,Phoenix,26,31591,0
Male,Marketing,Houston,,47710,13
Other,None,Houston,35,59088,7
Male,HR,Los Angeles,27,75886,5
Female,Finance,Houston,,57029,15
Female,Sales,New York,32,23382,6
Female,Engineering,New York,32,50980,11
Other,None,New York,28,71286,3
Male,Sales,Phoenix,57,46891,32
Male,Finance,None,59,60281,32
Male,Finance,,,68192,35
Other,Engineering,New York,64,52586,35
Female,None,Los Angeles,54,,29
Female,None,Los Angeles,37,58844,8
Male,Sales,Houston,51,43764,29
Female,Finance,Houston,39,46934,21
Female,Engineering,Chicago,35,36830,14
Other,Engineering,Houston,33,42722,5
Other,None,New York,22,62168,0
Other,Engineering,Phoenix,18,58086,0
Other,,Houston,36,33000,15
None,Engineering,Houston,27,35727,4
Other,Engineering,New York,38,41258,11
Female,Engineering,,30,28851,2
Male,Finance,Houston,41,53842,19
